relative_path,extension,size_bytes,reachable,depth,is_entry,is_grain,included_by_count,includes_count
"cpuCoreLib/onDTB_TAGChanged.h",.h,229,False,-1,False,False,0,1
"cpuCoreLib/onESPChanged_inl.h",.h,225,False,-1,False,False,0,1
"cpuCoreLib/onIAP_instruction_inl.h",.h,596,False,-1,False,False,0,3
"cpuCoreLib/onIPLChanged_inl.h",.h,14,False,-1,False,False,0,0
"cpuCoreLib/onITB_IAChanged_inl.h",.h,237,False,-1,False,False,0,1
"cpuCoreLib/onKSPChanged_inl.h",.h,227,False,-1,False,False,0,1
"cpuCoreLib/onMM_STATChanged_inl.h",.h,234,False,-1,False,False,0,1
"cpuCoreLib/onMM_STAT_Write.h",.h,3538,False,-1,False,False,0,1
"cpuCoreLib/onPAL_BaseWrite.h",.h,3141,False,-1,False,False,0,3
"cpuCoreLib/onPALcodeBaseChange_inl.h",.h,2538,False,-1,False,False,0,1
"cpuCoreLib/onPCRChanged_inl.h",.h,225,False,-1,False,False,0,1
"cpuCoreLib/onSIRRChanged_inl.h",.h,220,False,-1,False,False,0,1
"cpuCoreLib/onSSPChanged_inl.h",.h,216,False,-1,False,False,0,1
"cpuCoreLib/onStageITBPTE_inl.h",.h,1096,False,-1,False,False,0,3
"cpuCoreLib/onTBIAP_inl.h",.h,173,False,-1,False,False,0,1
"cpuCoreLib/onTBIA_ALL_inl.h",.h,183,False,-1,False,False,0,1
"cpuCoreLib/onTBIA_inl.h",.h,167,False,-1,False,False,0,1
"cpuCoreLib/onTBISD_inl.h",.h,171,False,-1,False,False,0,1
"cpuCoreLib/onTBIS_inl.h",.h,167,False,-1,False,False,0,1
"cpuCoreLib/onTriggerPrivilegeViolation_inl.h",.h,1687,False,-1,False,False,0,1
"cpuCoreLib/onUSPChanged.h",.h,213,False,-1,False,False,0,1
"cpuCoreLib/onVAWrite_inl.h",.h,2374,False,-1,False,False,0,1
"cpuCoreLib/onVPTBChanged_inl.h",.h,240,False,-1,False,False,0,1
"cpuCoreLib/onWrite_DTB_PTE_Common_inl.h",.h,4107,False,-1,False,False,0,1
"cpuCoreLib/registerBank_coreFramework.h",.h,7807,True,5,False,False,2,1
"cpuCoreLib/resetPALcodeState_inl.h",.h,235,False,-1,False,False,0,1
"cpuCoreLib/syncPALcodeMemoryMapping_inl.h",.h,2385,False,-1,False,False,0,1
"cpuCoreLib/toy_consoleNvram.h",.h,1080,False,-1,False,False,0,1
"cpuCoreLib/translateResultToTrap_inl.h",.h,1490,False,-1,False,False,0,4
"cpuCoreLib/trapTranslation_inl.h",.h,1412,False,-1,False,False,0,1
"deviceLib/ConsoleManager.cpp",.cpp,9095,True,4,False,False,0,2
"deviceLib/ConsoleManager.h",.h,7698,True,3,False,False,7,5
"deviceLib/IBootDevice.h",.h,689,False,-1,False,False,0,0
"deviceLib/IConsoleDevice.h",.h,3935,True,4,False,False,2,0
"deviceLib/OPA_Console_Config.h",.h,5557,False,-1,False,False,0,1
"deviceLib/SRMConsole.cpp",.cpp,39578,True,5,False,False,0,9
"deviceLib/SRMConsole.h",.h,12152,True,4,False,False,2,5
"deviceLib/SRMConsoleDevice.cpp",.cpp,12955,True,4,False,False,0,2
"deviceLib/SRMConsoleDevice.h",.h,9276,True,3,False,False,4,1
"deviceLib/SRMEnvStore.cpp",.cpp,5858,True,4,False,False,0,2
"deviceLib/SRMEnvStore.h",.h,4545,True,3,False,False,5,0
"deviceLib/deviceLib_global.h",.h,248,False,-1,False,False,0,0
"deviceLib/device_core_inl.h",.h,707,False,-1,False,False,0,0
"deviceLib/global_ConsoleManager.cpp",.cpp,707,True,4,False,False,0,2
"deviceLib/global_ConsoleManager.h",.h,1005,True,3,False,False,4,0
"deviceLib/global_SRMEnvStore.cpp",.cpp,4536,True,4,False,False,0,3
"deviceLib/global_SRMEnvStore.h",.h,2391,True,3,False,False,4,0
"emulatrLib/CPUStateManager.cpp",.cpp,10147,True,5,False,False,0,5
"emulatrLib/CPUStateManager.h",.h,3384,True,4,False,False,2,3
"emulatrLib/EmulatR_init.cpp",.cpp,50903,True,2,False,False,0,27
"emulatrLib/EmulatR_init.h",.h,10042,True,1,False,False,3,9
